generation,fitness
0,-162.8830943313895
1,-34.706498344885205
2,-34.25069736005866
3,-26.35941176511212
4,-18.40725392361649
5,-18.40725392361649
6,-18.40725392361649
7,-18.40725392361649
8,-17.76111566855102
9,-17.76111566855102
10,-17.76111566855102
11,-17.76111566855102
12,-17.76111566855102
13,-17.76111566855102
14,-17.76111566855102
15,-17.76111566855102
16,-17.76111566855102
17,-17.76111566855102
18,-17.76111566855102
19,-17.76111566855102
20,-17.76111566855102
21,-17.76111566855102
22,-17.76111566855102
23,-17.76111566855102
24,-17.76111566855102
25,-17.76111566855102
26,-17.76111566855102
27,-17.76111566855102
28,-17.76111566855102
29,-17.76111566855102
30,-17.76111566855102
31,-17.76111566855102
32,-17.76111566855102
33,-17.76111566855102
34,-17.76111566855102
35,-17.76111566855102
36,-17.76111566855102
37,-17.730167173076993
38,-17.730167173076993
39,-17.730167173076993
40,-17.730167173076993
41,-17.730167173076993
42,-17.730167173076993
43,-17.730167173076993
44,-17.730167173076993
45,-17.730167173076993
46,-17.730167173076993
47,-17.730167173076993
48,-17.730167173076993
49,-17.730167173076993
50,-17.730167173076993
51,-14.98460645424378
52,-14.98460645424378
53,-14.98460645424378
54,-14.98460645424378
55,-14.554207476615948
56,-14.554207476615948
57,-14.554207476615948
58,-14.554207476615948
59,-14.554207476615948
60,-14.554207476615948
61,-14.554207476615948
62,-14.554207476615948
63,-14.554207476615948
64,-14.554207476615948
65,-14.554207476615948
66,-14.554207476615948
67,-14.554207476615948
68,-14.554207476615948
69,-14.554207476615948
70,-14.554207476615948
71,-14.554207476615948
72,-14.554207476615948
73,-14.554207476615948
74,-14.554207476615948
75,-14.554207476615948
76,-14.554207476615948
77,-14.554207476615948
78,-14.554207476615948
79,-14.554207476615948
80,-14.554207476615948
81,-14.554207476615948
82,-14.554207476615948
83,-14.554207476615948
84,-14.554207476615948
85,-14.554207476615948
86,-14.554207476615948
87,-14.554207476615948
88,-14.554207476615948
89,-14.554207476615948
90,-14.554207476615948
91,-14.554207476615948
92,-11.37869655628867
93,-11.37869655628867
94,-11.37869655628867
95,-11.37869655628867
96,-11.37869655628867
97,-11.37869655628867
98,-11.37869655628867
99,-11.37869655628867
100,-11.37869655628867
101,-11.37869655628867
102,-11.37869655628867
103,-11.37869655628867
104,-11.37869655628867
105,-11.37869655628867
106,-6.743402069246381
107,-6.743402069246381
108,-6.743402069246381
109,-6.743402069246381
110,-6.743402069246381
111,-6.743402069246381
112,-6.743402069246381
113,-6.743402069246381
114,-6.743402069246381
115,-6.743402069246381
116,-6.743402069246381
117,-6.743402069246381
118,-6.743402069246381
119,-6.743402069246381
