status,species,label,score
kept,H2,1.0,0.28215134143829346
kept,H,1.0,0.2794332802295685
kept,O,1.0,0.33380845189094543
kept,O2,1.0,0.368139386177063
kept,OH,1.0,0.26894184947013855
kept,H2O,1.0,0.28429096937179565
kept,HO2,1.0,0.3269803822040558
kept,H2O2,1.0,0.38984110951423645
kept,CH4,1.0,0.3432835340499878
kept,CO,1.0,0.29998263716697693
kept,CO2,1.0,0.34258031845092773
kept,C2H6,1.0,0.3989536166191101
kept,N2,1.0,0.3370315730571747
kept,CH3,0.1508196721311475,0.3206494152545929
kept,CH2O,0.10632737689922385,0.3233177661895752
kept,NO,0.1049180328275539,0.3367633819580078
kept,HCO,0.0898528446124656,0.33135583996772766
kept,NH,0.07213114758507251,0.34975093603134155
kept,C2H4,0.06751829586978561,0.3635621666908264
kept,CH2CO,0.06566553353800172,0.35415682196617126
dropped,CH2,0.12493430153958274,0.32609978318214417
dropped,CH2(S),0.08575574896037991,0.3802167475223541
dropped,CH,0.07868855748470051,0.3798258900642395
dropped,HCN,0.07868852463000645,0.3416600227355957
dropped,C2H2,0.07541809919598169,0.3501007854938507
dropped,CH2CHO,0.062318037036827444,0.3722873032093048
dropped,NCO,0.05901639348592598,0.35874733328819275
dropped,CH2OH,0.055804020615771534,0.3648167550563812
dropped,HCCO,0.04918165934567975,0.3694811463356018
dropped,HNO,0.049180327918022126,0.3592859208583832
dropped,CH3OH,0.04300280898829479,0.37477123737335205
dropped,CN,0.04262295086297624,0.38444411754608154
dropped,NH2,0.04262295086296627,0.3600756824016571
dropped,C3H8,0.03608584965437513,0.37831053137779236
dropped,N2O,0.03278695643487942,0.3901778757572174
dropped,HCNN,0.032786885294983276,0.4044927656650543
dropped,HCNO,0.032786885289197126,0.3907790184020996
dropped,NO2,0.029508196761529687,0.3988381326198578
dropped,HCCOH,0.013114755244057162,0.4046879708766937
dropped,HOCN,0.013114754141660115,0.40490350127220154
